Alpha Omicron Pi Corporations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5:23 PM
Profit & Loss by Class,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03/01/2017
July 2016 through February 2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Accrual Basis
,,,,,Alpha,Alpha Chi,Alpha Delta,Alpha Epsilon,Alpha Gamma,Alpha Lambda,Alpha Mu,Alpha Nu,Alpha Phi,Alpha Pi,Alpha Psi,Alpha Rho,Alpha Theta,Beta Chi,Beta Eta,Beta Gamma,Beta Kappa,Beta Nu,Beta Phi,Beta Sigma,Beta Tau,Beta Upsilon,Beta Zeta,Chi Epsilon,Chi Lambda,Chi Phi,Chi Psi,Chi Theta,Delta,Delta Beta,Delta Delta,Delta Epsilon,Delta Gamma,Delta Kappa,Delta Lambda,Delta Nu,Delta Omega,Delta Pi,Delta Rho,Delta Sigma,Delta Tau,Delta Theta,Delta Xi,Epsilon Alpha,Epsilon Chi,Epsilon Gamma,Epsilon Omega,Epsilon Sigma,Gamma,Gamma Alpha,Gamma Chi,Gamma Delta,Gamma Omicron,Gamma Phi,Gamma Sigma,Gamma Theta,Iota,Iota Chi,Iota Sigma,Iota Theta,Kappa Alpha,Kappa Chi,Kappa Delta,Kappa Gamma,Kappa Kappa,Kappa Lambda,Kappa Oemga,Kappa Omega,Kappa Omicron,Kappa Phi,Kappa Rho,Kappa Sigma,Kappa Tau,Lambda Alpha,Lambda Beta,Lambda Chi,Lambda Delta,Lambda Epsilon,Lambda Eta,Lambda Iota,Lambda Lambda,Lambda Omicron,Lambda Rho,Lambda Sigma,Lambda Tau,Lambda Upsilon,Mu Lambda,My lambda,Nu Beta,Nu Omega,Nu Omicron,Oega siga,Omega,Omega Sigma,Omega Upsilon,Omicron,Omicron Pi,Phi Alpha,Phi Beta,Phi Chi,Phi Delta,Phi Gamma,Phi Lambda,Phi Sigma,Phi Upsilon,Pi Alpha,Pi Delta,Pi Omicron,Pi Theta,Rho Beta,Rho Delta,Rho Omicron,Sigma Alpha,Sigma Beta,Sigma Chi,Sigma Delta,Sigma Gamma,Sigma Omicron,Sigma Phi,Sigma Rho,Sigma Tau,Sigma Theta,Tau Delta,Tau Gamma,Tau Lambda,Tau Mu,Tau Omega,Tau Omicron,Theta Beta,Theta Chi,Theta Iota,Theta Omega,Theta Pi,Theta Psi,Theta Sigma,Upsilon,Upsilon Beta,Upsilon Lambda,Xi,Xi Omicron,Xi Rho,Zeta,Zeta Pi,Zeta Psi,Zeta Theta,ZZ - Delta Psi,ZZ - Sigma,ZZ - Tau (TN),Unclassified,TOTAL
,,,,Recruitment Week Rent,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,,,,Returned Check Fee,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,,,,Vending Machine Income,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,,,,OTHER INCOME - Other,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,,,Total OTHER INCOME,,309.72,"8,084.34","72,657.67","1,402.64","13,278.50","22,575.66",5.56,5.37,"8,618.94","96,684.48","4,805.02","13,060.69",428.67,"1,435.48","2,700.00","21,522.31",0.00,"9,383.95","55,147.65","5,100.00",0.00,353.83,"10,562.67","14,073.16","3,755.12","2,102.69","30,966.14","3,404.44",610.58,"5,758.80","23,255.62","5,405.56","13,910.00",10.54,"1,402.64","12,789.99","1,759.20","4,507.11","4,007.42","4,520.79","6,203.17","2,753.53",903.04,"5,711.24",12.80,"2,618.58","3,504.86",901.24,"2,204.16","8,809.70",0.00,"8,005.53","27,520.86",7.01,"6,004.22","8,591.32","19,460.58",0.00,"12,001.84",-192.99,"3,365.00","3,856.28",803.46,"1,904.23","8,624.78",0.00,0.00,"18,597.95",10.09,0.00,"4,464.43",301.38,"4,208.63",2.83,"3,480.23","1,436.37","1,804.16",0.00,"6,225.63","5,607.79",0.00,935.48,"18,809.62","26,914.54","3,806.24","3,475.44",5.96,0.00,"29,927.27","4,674.28","1,288.18",0.00,214.53,"40,351.07","30,866.62","130,321.77","14,900.00",0.00,3.73,"2,307.92","2,304.01","8,333.08","1,002.50","2,906.80","15,061.08","3,975.26",66.30,"3,804.21","4,013.67","2,706.10","7,385.35","4,124.01","9,733.43",11.59,211.51,"2,003.46","9,007.54","10,610.02","8,026.39","1,602.92",3.95,"5,206.24","3,604.46","4,512.97",302.83,"27,310.00","2,005.60","247,635.76",268.60,0.98,8.39,-88.93,3.39,"3,606.84",0.00,"270,609.05","2,401.87","4,471.65","38,963.74","42,659.97","4,010.33","14,154.70",10.81,"17,323.20","7,348.73",0.00,0.00,559.67,801.24,"1,763,464.80"
,,,ROOM AND BOARD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Room and Board,0.00,"25,887.74","283,954.80",0.00,"250,894.18","27,735.83",0.00,0.00,"184,063.55","269,987.00",0.00,"43,920.00",0.00,0.00,0.00,"192,000.00",0.00,0.00,"699,657.57",0.00,0.00,0.00,0.00,"219,259.77",0.00,0.00,"23,673.55",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"231,970.00",0.00,0.00,0.00,0.00,0.00,"47,281.80",0.00,0.00,0.00,0.00,0.00,0.00,"248,160.00",0.00,0.00,0.00,"426,367.56",0.00,"319,360.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"233,863.13",0.00,0.00,"180,105.51",0.00,0.00,0.00,"35,736.20",0.00,0.00,0.00,"103,318.89",0.00,0.00,0.00,0.00,"349,969.00",0.00,"53,482.75",0.00,0.00,"290,634.66",0.00,"43,024.74",0.00,0.00,"384,410.29","357,878.23","56,347.50",0.00,0.00,0.00,0.00,0.00,"10,450.00",0.00,0.00,"444,751.50",0.00,"331,640.31",0.00,0.00,0.00,0.00,0.00,"154,722.41",0.00,"128,819.25",0.00,0.00,0.00,"15,714.29",0.00,0.00,0.00,0.00,"31,323.48",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"420,944.33",0.00,0.00,"283,751.00","408,622.05",0.00,"259,250.68",0.00,"151,133.50","54,845.75",0.00,0.00,0.00,0.00,"8,278,912.80"
,,,,ROOM AND BOARD - Other,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,,,Total ROOM AND BOARD,,0.00,"25,887.74","283,954.80",0.00,"250,894.18","27,735.83",0.00,0.00,"184,063.55","269,987.00",0.00,"43,920.00",0.00,0.00,0.00,"192,000.00",0.00,0.00,"699,657.57",0.00,0.00,0.00,0.00,"219,259.77",0.00,0.00,"23,673.55",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"231,970.00",0.00,0.00,0.00,0.00,0.00,"47,281.80",0.00,0.00,0.00,0.00,0.00,0.00,"248,160.00",0.00,0.00,0.00,"426,367.56",0.00,"319,360.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"233,863.13",0.00,0.00,"180,105.51",0.00,0.00,0.00,"35,736.20",0.00,0.00,0.00,"103,318.89",0.00,0.00,0.00,0.00,"349,969.00",0.00,"53,482.75",0.00,0.00,"290,634.66",0.00,"43,024.74",0.00,0.00,"384,410.29","357,878.23","56,347.50",0.00,0.00,0.00,0.00,0.00,"10,450.00",0.00,0.00,"444,751.50",0.00,"331,640.31",0.00,0.00,0.00,0.00,0.00,"154,722.41",0.00,"128,819.25",0.00,0.00,0.00,"15,714.29",0.00,0.00,0.00,0.00,"31,323.48",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"420,944.33",0.00,0.00,"283,751.00","408,622.05",0.00,"259,250.68",0.00,"151,133.50","54,845.75",0.00,0.00,0.00,0.00,"8,278,912.80"
,,,Uncategorized Income,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,,Total Income,,,"35,031.72","64,534.95","1,549,849.84","6,442.64","296,316.68","173,027.18","9,296.16","6,406.82","221,415.16","807,243.98","17,529.16","115,119.94","3,661.17","4,210.48","10,300.00","296,668.99",0.00,"45,598.95","792,695.22","15,830.00",0.00,"10,890.41","32,396.00","267,950.81","13,527.24","6,527.69","102,559.64","10,254.44","11,608.92","41,247.75","50,755.62","14,655.56","55,018.16","25,698.74","5,702.22","82,850.79","16,252.41","17,167.11","11,640.27","341,029.11","18,112.03","24,493.51","5,102.92","19,548.74","8,973.80","63,692.08","13,354.86","3,488.74","9,254.16","19,909.70",0.00,"29,961.03","645,220.69","9,007.01","17,619.79","42,539.31","554,674.79",0.00,"405,018.66","5,524.92","16,342.91","23,172.81","5,343.46","6,704.23","32,621.72",0.00,0.00,"373,856.41","50,824.09",0.00,"207,145.28","2,201.38","9,358.63","4,652.83","67,403.43","11,238.54","8,298.90",0.00,"155,903.26","15,489.10",0.00,"3,735.48","58,842.02","615,885.64","30,831.24","188,695.19","9,594.43",0.00,"974,445.69","15,247.40","84,521.72",0.00,"18,419.47","628,728.35","439,661.14","301,062.87","43,525.76",0.00,"3,641.23","14,007.92","8,604.01","69,819.08","7,671.10","12,886.80","550,937.58","24,263.82","368,694.45","15,566.57","24,011.12","14,695.17","35,827.85","37,319.91","213,102.40","4,701.59","140,403.26","6,278.46","21,257.54","71,447.61","52,940.80","6,788.97","3,372.70","15,260.18","11,620.71","50,743.30","5,218.09","105,332.24","8,555.60","285,640.76","4,582.35","1,300.98","12,104.30","12,772.07","4,936.28","24,465.55",-0.01,"726,549.92","8,112.26","12,771.65","494,126.02","711,932.24","18,631.88","351,190.23","4,360.81","249,100.59","83,917.18",0.00,0.00,559.67,801.24,"16,800,988.08"
,,Cost of Goods Sold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Cost of Goods Sold,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,,Total COGS,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Gross Profit,,,,"35,031.72","64,534.95","1,549,849.84","6,442.64","296,316.68","173,027.18","9,296.16","6,406.82","221,415.16","807,243.98","17,529.16","115,119.94","3,661.17","4,210.48","10,300.00","296,668.99",0.00,"45,598.95","792,695.22","15,830.00",0.00,"10,890.41","32,396.00","267,950.81","13,527.24","6,527.69","102,559.64","10,254.44","11,608.92","41,247.75","50,755.62","14,655.56","55,018.16","25,698.74","5,702.22","82,850.79","16,252.41","17,167.11","11,640.27","341,029.11","18,112.03","24,493.51","5,102.92","19,548.74","8,973.80","63,692.08","13,354.86","3,488.74","9,254.16","19,909.70",0.00,"29,961.03","645,220.69","9,007.01","17,619.79","42,539.31","554,674.79",0.00,"405,018.66","5,524.92","16,342.91","23,172.81","5,343.46","6,704.23","32,621.72",0.00,0.00,"373,856.41","50,824.09",0.00,"207,145.28","2,201.38","9,358.63","4,652.83","67,403.43","11,238.54","8,298.90",0.00,"155,903.26","15,489.10",0.00,"3,735.48","58,842.02","615,885.64","30,831.24","188,695.19","9,594.43",0.00,"974,445.69","15,247.40","84,521.72",0.00,"18,419.47","628,728.35","439,661.14","301,062.87","43,525.76",0.00,"3,641.23","14,007.92","8,604.01","69,819.08","7,671.10","12,886.80","550,937.58","24,263.82","368,694.45","15,566.57","24,011.12","14,695.17","35,827.85","37,319.91","213,102.40","4,701.59","140,403.26","6,278.46","21,257.54","71,447.61","52,940.80","6,788.97","3,372.70","15,260.18","11,620.71","50,743.30","5,218.09","105,332.24","8,555.60","285,640.76","4,582.35","1,300.98","12,104.30","12,772.07","4,936.28","24,465.55",-0.01,"726,549.92","8,112.26","12,771.65","494,126.02","711,932.24","18,631.88","351,190.23","4,360.81","249,100.59","83,917.18",0.00,0.00,559.67,801.24,"16,800,988.08"
,,Expense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,ACCRA.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,ACCRA,"3,344.00","11,858.00","48,762.00",902.00,"27,720.00","14,400.00","1,914.00","1,826.00","12,166.00","42,350.00","1,672.00","7,392.00","1,254.00",748.00,"1,640.00","19,250.00",0.00,"6,712.00","17,780.00","1,000.00",0.00,"1,320.00","4,312.00","23,520.00","1,760.00",924.00,"18,712.00","1,518.00","3,630.00","3,014.00","5,346.00","1,760.00",0.00,"3,630.00",902.00,"3,120.00","3,146.00","2,442.00","2,552.00","15,680.00","1,078.00","1,210.00","1,034.00","3,872.00","4,400.00","5,852.00","1,672.00",418.00,"1,430.00","3,058.00",0.00,"1,892.00","35,574.00","2,420.00","1,518.00","2,750.00","29,876.00",0.00,"20,174.00","2,420.00","1,716.00","2,156.00","1,188.00","1,452.00","3,014.00",0.00,0.00,"34,650.00","3,454.00",0.00,"13,398.00",462.00,"2,222.00",968.00,"9,856.00","1,034.00","1,440.00",0.00,"8,778.00","2,684.00",0.00,726.00,"3,300.00","37,940.00","2,134.00","9,009.04","2,046.00",0.00,"58,520.00","2,618.00","10,216.48",0.00,"4,994.00","31,878.00","22,638.00","13,783.04","17,950.64",0.00,"1,210.00","2,728.00","1,386.00","15,400.00",858.00,"2,332.00","24,178.00","2,948.00","24,178.00","1,452.00","4,708.00","2,090.00","3,564.00","2,530.00","20,790.00","3,982.00","2,541.04","1,188.00","2,574.00","3,432.00","8,855.04","1,012.00","1,364.00","2,156.00","1,232.00","6,083.04",968.00,0.00,"1,914.00","2,662.00","2,948.00",330.00,"2,882.00","3,784.00","1,040.00","1,716.00","3,033.36","19,558.00",638.00,"1,650.00","38,500.00","56,980.00","3,542.00","21,868.00","2,354.00","13,013.04","9,933.04",0.00,0.00,0.00,0.00,"1,080,935.76"
,,,,ACCRA. - Other,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,,,Total ACCRA.,,"3,344.00","11,858.00","48,762.00",902.00,"27,720.00","14,400.00","1,914.00","1,826.00","12,166.00","42,350.00","1,672.00","7,392.00","1,254.00",748.00,"1,640.00","19,250.00",0.00,"6,712.00","17,780.00","1,000.00",0.00,"1,320.00","4,312.00","23,520.00","1,760.00",924.00,"18,712.00","1,518.00","3,630.00","3,014.00","5,346.00","1,760.00",0.00,"3,630.00",902.00,"3,120.00","3,146.00","2,442.00","2,552.00","15,680.00","1,078.00","1,210.00","1,034.00","3,872.00","4,400.00","5,852.00","1,672.00",418.00,"1,430.00","3,058.00",0.00,"1,892.00","35,574.00","2,420.00","1,518.00","2,750.00","29,876.00",0.00,"20,174.00","2,420.00","1,716.00","2,156.00","1,188.00","1,452.00","3,014.00",0.00,0.00,"34,650.00","3,454.00",0.00,"13,398.00",462.00,"2,222.00",968.00,"9,856.00","1,034.00","1,440.00",0.00,"8,778.00","2,684.00",0.00,726.00,"3,300.00","37,940.00","2,134.00","9,009.04","2,046.00",0.00,"58,520.00","2,618.00","10,216.48",0.00,"4,994.00","31,878.00","22,638.00","13,783.04","17,950.64",0.00,"1,210.00","2,728.00","1,386.00","15,400.00",858.00,"2,332.00","24,178.00","2,948.00","24,178.00","1,452.00","4,708.00","2,090.00","3,564.00","2,530.00","20,790.00","3,982.00","2,541.04","1,188.00","2,574.00","3,432.00","8,855.04","1,012.00","1,364.00","2,156.00","1,232.00","6,083.04",968.00,0.00,"1,914.00","2,662.00","2,948.00",330.00,"2,882.00","3,784.00","1,040.00","1,716.00","3,033.36","19,558.00",638.00,"1,650.00","38,500.00","56,980.00","3,542.00","21,868.00","2,354.00","13,013.04","9,933.04",0.00,0.00,0.00,0.00,"1,080,935.76"
